T_C;seria_Hmax_nom_A_per_m;branch;i;H_A_per_m;B_T
20;10000;asc;11;-5388.3;-0.03699
20;10000;asc;12;-5327.8;-0.03661
20;10000;asc;13;-5267.2;-0.03606
20;10000;asc;14;-5206.7;-0.03565
20;10000;asc;15;-5146.1;-0.03525
20;10000;asc;16;-5085.6;-0.03481
20;10000;asc;17;-5025.1;-0.03465
20;10000;asc;18;-4964.5;-0.03462
20;10000;asc;19;-4904.0;-0.03445
20;10000;asc;20;-4843.4;-0.03419
20;10000;asc;21;-4782.9;-0.03417
20;10000;asc;22;-4722.3;-0.03409
20;10000;asc;23;-4661.8;-0.03343
20;10000;asc;24;-4601.3;-0.03229
20;10000;asc;25;-4540.7;-0.03202
20;10000;asc;26;-4480.2;-0.03193
20;10000;asc;27;-4419.6;-0.03174
20;10000;asc;28;-4359.1;-0.03150
20;10000;asc;29;-4298.5;-0.03123
20;10000;asc;30;-4238.0;-0.03088
20;10000;asc;31;-4177.5;-0.03047
20;10000;asc;32;-4116.9;-0.02998
20;10000;asc;33;-4056.4;-0.02961
20;10000;asc;34;-3995.8;-0.02905
20;10000;asc;35;-3935.3;-0.02884
20;10000;asc;36;-3874.7;-0.02851
20;10000;asc;37;-3814.2;-0.02801
20;10000;asc;38;-3753.7;-0.02770
20;10000;asc;39;-3693.1;-0.02739
20;10000;asc;40;-3632.6;-0.02691
20;10000;asc;41;-3572.0;-0.02602
20;10000;asc;42;-3511.5;-0.02575
20;10000;asc;43;-3450.9;-0.02569
20;10000;asc;44;-3390.4;-0.02550
20;10000;asc;45;-3329.9;-0.02529
20;10000;asc;46;-3269.3;-0.02513
20;10000;asc;47;-3208.8;-0.02473
20;10000;asc;48;-3148.2;-0.02415
20;10000;asc;49;-3087.7;-0.02385
20;10000;asc;50;-3027.1;-0.02332
20;10000;asc;51;-2966.6;-0.02281
20;10000;asc;52;-2906.1;-0.02239
20;10000;asc;53;-2845.5;-0.02205
20;10000;asc;54;-2785.0;-0.02172
20;10000;asc;55;-2724.4;-0.02149
20;10000;asc;56;-2663.9;-0.02129
20;10000;asc;57;-2603.3;-0.02105
20;10000;asc;58;-2542.8;-0.02016
20;10000;asc;59;-2482.3;-0.01965
20;10000;asc;60;-2421.7;-0.01913
20;10000;asc;61;-2361.2;-0.01884
20;10000;asc;62;-2300.6;-0.01863
20;10000;asc;63;-2240.1;-0.01809
20;10000;asc;64;-2179.5;-0.01776
20;10000;asc;65;-2119.0;-0.01757
20;10000;asc;66;-2058.5;-0.01716
20;10000;asc;67;-1997.9;-0.01678
20;10000;asc;68;-1937.4;-0.01631
20;10000;asc;69;-1876.8;-0.01600
20;10000;asc;70;-1816.3;-0.01544
20;10000;asc;71;-1755.7;-0.01486
20;10000;asc;72;-1695.2;-0.01459
20;10000;asc;73;-1634.7;-0.01439
20;10000;asc;74;-1574.1;-0.01354
20;10000;asc;75;-1513.6;-0.01269
20;10000;asc;76;-1453.0;-0.01231
20;10000;asc;77;-1392.5;-0.01204
20;10000;asc;78;-1331.9;-0.01156
20;10000;asc;79;-1271.4;-0.01135
20;10000;asc;80;-1210.9;-0.01104
20;10000;asc;81;-1150.3;-0.01072
20;10000;asc;82;-1089.8;-0.01061
20;10000;asc;83;-1029.2;-0.01026
20;10000;asc;84;-968.7;-0.00917
20;10000;asc;85;-908.1;-0.00876
20;10000;asc;86;-847.6;-0.00856
20;10000;asc;87;-787.1;-0.00784
20;10000;asc;88;-726.5;-0.00731
20;10000;asc;89;-666.0;-0.00708
20;10000;asc;90;-605.4;-0.00664
20;10000;asc;91;-544.9;-0.00642
20;10000;asc;92;-484.3;-0.00616
20;10000;asc;93;-423.8;-0.00492
20;10000;asc;94;-363.3;-0.00435
20;10000;asc;95;-302.7;-0.00403
20;10000;asc;96;-242.2;-0.00365
20;10000;asc;97;-181.6;-0.00328
20;10000;asc;98;-121.1;-0.00298
20;10000;asc;99;-60.5;-0.00245
20;10000;asc;100;0.0;-0.00122
20;10000;asc;101;60.5;-0.00012
20;10000;asc;102;121.1;-0.00004
20;10000;asc;103;181.6;0.00003
20;10000;asc;104;242.2;0.00045
20;10000;asc;105;302.7;0.00075
20;10000;asc;106;363.3;0.00095
20;10000;asc;107;423.8;0.00236
20;10000;asc;108;484.3;0.00272
20;10000;asc;109;544.9;0.00272
20;10000;asc;110;605.4;0.00302
20;10000;asc;111;666.0;0.00372
20;10000;asc;112;726.5;0.00397
20;10000;asc;113;787.1;0.00409
20;10000;asc;114;847.6;0.00442
20;10000;asc;115;908.1;0.00480
20;10000;asc;116;968.7;0.00483
20;10000;asc;117;1029.2;0.00501
20;10000;asc;118;1089.8;0.00607
20;10000;asc;119;1150.3;0.00718
20;10000;asc;120;1210.9;0.00773
20;10000;asc;121;1271.4;0.00793
20;10000;asc;122;1331.9;0.00828
20;10000;asc;123;1392.5;0.00893
20;10000;asc;124;1453.0;0.00924
20;10000;asc;125;1513.6;0.00957
20;10000;asc;126;1574.1;0.01004
20;10000;asc;127;1634.7;0.01038
20;10000;asc;128;1695.2;0.01115
20;10000;asc;129;1755.7;0.01169
20;10000;asc;130;1816.3;0.01166
20;10000;asc;131;1876.8;0.01159
